student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout
205631,female,CIVIL,yes,Primary,no,24,4.081791516,75.89388944,32131,4,22.4,51,0,5,no,0
216897,male,ME,no,Graduate,no,19,4.227551346,67.1693533,26360,6,5.9,10,3,3,yes,1
205436,other,ME,yes,Graduate,no,25,5.225224207,60.91433171,15732,6,15.1,36,4,6,no,1
207353,female,ECE,no,Postgraduate,no,26,4.471950342,74.58421769,42785,4,17.3,3,1,2,yes,0
214784,male,COMMERCE,no,Graduate,yes,18,4.322311295,76.72998966,16049,2,24.9,35,3,8,no,0
203473,male,BIO,no,Graduate,no,25,4.26936751,71.57592822,68582,5,17.6,20,2,1,yes,1
209656,other,CIVIL,no,Graduate,yes,26,6.013147412,89.2925569,75144,2,8.6,21,3,9,no,0
207181,other,COMMERCE,no,Graduate,no,21,5.137650102,71.34438115,67847,4,21.7,56,3,9,no,0
202090,male,CIVIL,no,Graduate,no,17,4.305949523,73.13804473,84148,6,8.7,3,2,6,yes,1
217123,female,ME,no,Secondary,no,23,6.637109626,100,71972,3,19.4,35,1,6,no,0
206206,female,BIO,no,Primary,no,24,5.687291466,68.88151229,30004,2,15.8,16,0,1,yes,0
219859,female,BIO,no,Primary,no,18,5.987094506,77.42381784,54711,4,14.4,36,0,9,no,1
203984,other,ME,no,Graduate,yes,19,6.43857409,100,36262,3,21.5,50,1,2,yes,0
205230,other,ARTS,yes,Graduate,no,19,5.214653293,88.16307243,64468,5,6.4,25,1,6,yes,0
209948,female,ARTS,no,Graduate,no,25,4.49662505,68.21071033,75499,3,8.8,45,3,3,yes,1
201512,other,ARTS,no,Graduate,no,18,6.105569749,77.26363554,63106,2,12.1,23,3,9,yes,0
208527,female,ME,no,Graduate,no,25,4.765677632,68.79082524,27912,2,12.1,19,0,5,no,0
205314,male,CS,no,Secondary,no,21,5.073740505,83.33862123,55795,2,23.8,33,0,2,no,0
214313,other,ARTS,no,Graduate,no,24,6.510641612,79.0921811,64197,3,5.3,30,1,1,no,0
206958,female,CIVIL,yes,Graduate,yes,26,4.481530134,67.61597451,24868,2,15.5,16,1,8,no,0
214400,other,CIVIL,no,Secondary,no,24,6.708242038,68.03706857,45804,3,5.3,4,4,0,yes,0
211642,other,CIVIL,no,Graduate,yes,21,5.807134957,75.06847704,61260,2,6,19,0,7,no,0
209595,male,CIVIL,no,Graduate,yes,17,6.455322923,65.5870359,56338,6,16.4,28,0,8,no,1
207752,male,ARTS,no,Graduate,no,23,5.1300157,76.6741304,40251,3,9.2,4,4,3,no,0
200341,male,COMMERCE,no,Graduate,no,21,6.475385329,92.8824964,85451,5,7.8,8,1,9,no,0
216683,other,COMMERCE,yes,Postgraduate,no,22,4.57283182,95.77392785,73686,6,23.2,14,2,6,yes,0
202202,other,ME,no,Secondary,no,21,6.661218348,68.67444282,51300,2,21.1,21,0,3,yes,0
216037,female,ME,no,Secondary,no,21,4.126194345,67.87725388,74766,4,11.4,59,1,3,yes,0
201788,male,ME,yes,Secondary,no,26,5.519937661,86.77561042,30169,5,24.7,12,2,7,no,1
203335,male,CIVIL,no,Graduate,no,19,6.89301167,61.24438793,58251,6,9.1,55,2,5,no,0
206733,male,CIVIL,no,Graduate,no,21,5.449803838,66.08958699,40690,6,9.5,20,2,8,no,0
207087,other,BIO,no,Secondary,no,23,6.627721984,65.86759826,54887,5,15.1,8,1,6,no,1
202177,male,COMMERCE,no,Primary,no,23,5.986076378,70.42912972,43709,5,19.9,49,0,5,no,0
211368,other,CS,no,Postgraduate,no,23,5.202968611,68.54600898,18622,4,7.2,41,1,7,yes,0
213651,other,ME,yes,Graduate,no,17,4.278439187,85.26888893,37196,3,10.6,4,0,4,no,0
212495,other,ECE,no,Graduate,yes,26,6.514953048,57.74195207,60778,5,11.9,30,4,7,yes,1
212736,male,CIVIL,no,Postgraduate,no,23,5.622436844,68.69067393,-16029,6,14.4,15,0,5,yes,1
205525,other,BIO,no,Graduate,no,23,4.37398847,60.54405386,76612,2,9.3,4,2,4,no,1
208358,male,ARTS,yes,Graduate,no,17,6.210098087,90.82730369,40583,3,8,34,2,5,yes,1
200385,other,ME,no,Graduate,yes,21,5.376263386,72.39002071,55452,3,14.8,38,2,0,no,0
205458,other,BIO,no,Secondary,no,17,4.567097545,72.08232356,55493,3,7.9,32,4,4,yes,0
